"TEMPEXT"|"KWCLT"|"KWIT"
31,979212|338,25|470,64
31,989206|324,39|461,58
31,989206|357,09|467,01
31,989206|357,83|463,21
31,989206|318,28|462,06
31,989206|299,75|455,83
31,999201|361,15|464,14
31,999201|337,23|464,1
32,039169|357,43|463,7
32,039169|361,47|467,52
32,059151|403,14|468,42
32,069141|370,03|466,09
32,099117|364,29|465,24
32,099117|347,08|464,26
32,119095|338,4|468,61
32,159061|337,32|473,86
32,159061|346,06|475,32
32,169056|377,11|477,02
32,169056|345,2|475,93
32,189037|354,11|477,63
32,189037|321,84|454,99
32,199028|348,66|473,47
32,199028|344,52|465,25
32,229|346,75|478,42
32,238995|329,35|462,91
32,25898|358,11|470
32,25898|374,75|479,66
32,268967|314,41|463,1
32,268967|323,84|460,34
32,278957|371,23|468,52
32,278957|356,82|464,2
32,278957|308,52|463,26
32,288952|337,45|460,38
32,288952|344,27|457,55
32,288952|344,19|466,37
32,298939|352,08|463,27
32,298939|362,8|474,85
32,338902|342,19|472,44
32,348892|330,17|470,28
32,348892|347,6|473,87
32,378864|361,37|464,5
32,398849|344,71|464,59
32,398849|331,94|470,17
32,448795|365,92|464,71
32,468781|339,51|464
32,468781|358,92|462,62
32,488758|352,77|464,88
32,498749|356,5|459,98
32,498749|352,34|479,19
32,508743|379,37|478,69
32,508743|366,27|465,21
32,528717|328,44|455,58
32,548695|338,98|468,79
32,56868|340,56|480,41
32,578671|358,71|464,67
32,588654|342,75|462,43
32,608639|358,77|480,34
32,638607|325,01|474,18
32,648598|378,46|463,6
32,658581|349,71|464,97
32,668571|335,86|472,68
32,668571|342,55|455,54
32,69854|356,52|477,39
32,718521|343,27|472,8
32,718521|377,06|463,48
32,718521|325,17|463,81
32,728504|338,4|471,23
32,75848|369,34|468,67
32,75848|351,51|461,36
32,778454|368,63|467,11
32,808418|356,23|463,05
32,818409|316,72|463,78
32,838383|359,89|469,21
32,898319|370,19|466,62
32,908302|353,78|462,75
32,908302|372,59|467,26
32,918293|369,71|477,89
32,918293|341,65|466,45
32,948257|372,31|459,66
32,948257|354,7|467,08
32,958248|359,8|466,76
32,968239|347,19|470,78
32,978218|344,8|463,9
32,978218|362,36|463,43
32,988209|354,45|461,05
32,998199|355,32|462,66
33,018173|362,97|462,47
33,038151|356,4|462,68
33,038151|342|473,12
33,058125|361,98|459,87
33,068115|334,3|483,18
33,088085|344,72|462,69
33,088085|341,65|479,24
33,088085|362,9|473,47
33,098076|360,57|473,37
33,108067|382,02|474,51
33,128036|361,57|462,64
33,138027|334,45|460,97
33,157997|362,16|465,67
